threshold,precision,recall,f1,predicted_positives,tn,fp,fn,tp
0.05,0.025786828881248346,0.9420289855072463,0.05019951087656069,7562,36273,7367,12,195
0.1,0.032219159200551344,0.9033816425120773,0.0622192646814174,5804,38023,5617,20,187
0.15,0.037899640059284354,0.8647342995169082,0.07261663286004057,4723,39096,4544,28,179
0.2,0.04327281770703805,0.8405797101449275,0.08230842005676443,4021,39793,3847,33,174
0.25,0.04672897196261682,0.821256038647343,0.08842652795838751,3638,40172,3468,37,170
0.3,0.05156537753222836,0.8115942028985508,0.09696969696969697,3258,40550,3090,39,168
0.35,0.05614881157423355,0.7874396135265701,0.10482315112540193,2903,40900,2740,44,163
0.4,0.061155152887882216,0.782608695652174,0.1134453781512605,2649,41153,2487,45,162
0.45,0.06561461794019934,0.7632850241545893,0.12084130019120459,2408,41390,2250,49,158
0.5,0.07051282051282051,0.7439613526570048,0.1288163948138854,2184,41610,2030,53,154
0.55,0.07743589743589743,0.7294685990338164,0.14000927213722764,1950,41841,1799,56,151
0.6,0.08480364257256688,0.7198067632850241,0.15173116089613034,1757,42032,1608,58,149
0.65,0.08933002481389578,0.6956521739130435,0.1583287520615723,1612,42172,1468,63,144
0.7,0.09887005649717515,0.6763285024154589,0.1725200246457178,1416,42364,1276,67,140
0.75,0.11192214111922141,0.6666666666666666,0.19166666666666668,1233,42545,1095,69,138
0.8,0.12628624883068287,0.6521739130434783,0.2115987460815047,1069,42706,934,72,135
0.85,0.13976164680390032,0.6231884057971014,0.22831858407079647,923,42846,794,78,129
0.9,0.16689280868385345,0.5942028985507246,0.2605932203389831,737,43026,614,84,123
0.95,0.23109243697478993,0.5314009661835749,0.32210834553440704,476,43274,366,97,110
